id;name;image_url;inside_ingredients;inside_contains;may_contains
1;clear-thinking;Lek;Ball sticky bottom-line;invoice Identity Creative;embrace Dakota Oregon
2;back;Account value-added services;rich Sports Awesome;users;Wooden
3;morph Indiana;Cambridgeshire;wireless virtual Consultant;Metal;Buckinghamshire solid
4;Oregon Movies;1080p;monitor;Strategist of Universal;deposit
5;Account Research Soap;Open-architected Personal;Home;Rubber;Ergonomic Steel
6;monitor Uruguayo;mint Industrial SMS;coherent;experiences;reboot Money
7;up generate system;JBOD Movies;port Berkshire;Rubber Canadian alarm;haptic
8;Global transition Cedi;Table Mobility Down-sized;analyzing parsing;Loan;1080p extensible Global
9;partnerships Dollar;Bedfordshire blockchains Soap;Fork Consultant;green Frozen;array aggregate Rustic
10;Program Cheese;Operations matrices;Assistant Electronics;Global help-desk Berkshire;cross-media architecture
