id;name;image_url;description
1;SAS Baht Chicken;Bacon;indigo
2;Points Avon;Wooden Account;workforce
3;Digitized;hacking;lime
4;connect Cambridgeshire;Chair;platforms interfaces Avon
5;National Baby;strategic RAM multi-byte;navigating pricing calculating
6;Denar Savings;primary next-generation;panel neural Cotton
7;logistical Pizza Assistant;Dynamic;turquoise intranet Pizza
8;Garden PCI;SQL Lesotho;Metal
9;Intelligent Djibouti;Representative eco-centric;copying
10;bandwidth Proactive;Ports;Monitored back generating
